barcode,created,short_desc,total_sold
4800016666247,2023/01,NOVA SWEET CHILI,58
4801288820153,2023/01,HAPPY COTTON 10G,4.5
4804888019514,2023/01,WHITE SUGAR 225G,23.5
4804888019552,2023/01,WASHED SUGAR 450G,41
9557727929202,2023/01,DOREEN CONDENSADA 390G,50
4800016138560,2023/01,GG TORTILLOS CHEESE 25gX100,28
4801958390108,2023/01,CRISPY FRY ORIG 62g,16
J18,2023/01,JUICE ASST LITRO,20
RX8,2023/01,REXONA RETAIL 8,8
SC6,2023/01,SHAMPOO/CONDITIONER RETAIL ASST,13
TP9,2023/01,TOOTHPASTE RETAIL 9,9
K12,2023/01,KAPE/MILK/OTHER BEVERAGE,24
48040884,2023/01,WINSTON RED 10'S BY 2,126
15,2023/01,15,45
16,2023/01,16,16
40329055,2023/01,CAMEL CIG,88
48041812,2023/01,MIGHTY GREEN FLIPTOP,107
18,2023/01,18,18
4800016560927,2023/01,NISSIN MINI SPICY HOT BEEF 45GX48,21
4807770273711,2023/01,PANCIT CANTON SWEET SPICY,27.5
6,2023/01,6,6
5,2023/01,5,5
4800092110511,2023/01,HANSEL MILK,53
4902430698085,2023/01,PANTENE SHM HFALL 12ML BY12,43.5
4801981164714,2023/01,WILKINS DISTILLED 7L,85
4806506318856,2023/01,SISTERS SILK FLOSS NIGHT 8,25
4800488011484,2023/01,CHARMEE NON WING 8S,19
8996001414309,2023/01,KOPIKO BLANCA SINGLE,76
4801981164714,2023/01,WILKINS DISTILLED 7L,85
4800016561429,2023/01,NISSIN RAMEN CREAMY SEAFOOD 72s,13.5
4800016560910,2023/01,NISSIN RAMEN SPICY SEAFOOD 59GX72,27
4807770270017,2023/01,LUCKY ME BEEF 55G,25.5
4806502721445,2023/01,GARDENIA CALI RAISIN 400G,89
4808887010022,2023/01,PUREFOODS CORNED BEEF 380G,340
4808680022017,2023/01,LADYS CHOICE SANDWICH SPREAD CHICKEN 80ML,38
4800631001928,2023/01,BOY BAWANG ASST NUTS 85G,22
J18,2023/01,JUICE ASST LITRO,20
21,2023/01,21,21
4800092552090,2023/01,FUDGEE BARR COMBO,68
60,2023/01,60,120
J18,2023/01,JUICE ASST LITRO,40
4800449555514,2023/01,LALA FISH CRACKER 100G,27
C18,2023/01,CURLS ASST 18,18.5
4800361399517,2023/01,KIMY Milky Stick 40x43g,46
18,2023/01,18,18
4808887010022,2023/01,PUREFOODS CORNED BEEF 380G,170
18,2023/01,18,18
15,2023/01,15,15
4807770273698,2023/01,PANCIT CANTON CHILIMANSI,55
6,2023/01,6,0
120,2023/01,120,120
5,2023/01,5,5
78,2023/01,78,78
4807770270017,2023/01,LUCKY ME BEEF 55G,34
4807770273711,2023/01,PANCIT CANTON SWEET SPICY,27.5
4806502721452,2023/01,GARDENIA FIBER WHEAT 400G,68
60,2023/01,60,60
7622210075017,2023/01,CHEEZ WHIZ PIMIENTO SUP 200G,88
4800016666247,2023/01,NOVA SWEET CHILI,14.5
4806533540053,2023/01,CANTON MED 200G,34
136,2023/01,136,136
4807770122170,2023/01,NISSIN BUTTER COCONUT,52
O,2023/01,OIL RETAIL,26
14,2023/01,14,14
M COKE,2023/01,COKE MISMO,170
60,2023/01,60,60
100,2023/01,100,100
4800092112782,2023/01,COMBI TRIPLE CHOCO 30G,53.5
4800129110163,2023/01,ICED GEM,67
80,2023/01,80,80
48041812,2023/01,MIGHTY GREEN FLIPTOP,107
4804888019545,2023/01,WASHED SUGAR 225G,42
4800405123467,2023/01,MARCAPINA SOYSAUCE 350ML,21
4801668100103,2023/01,DATU PUTI VINEGAR 350ML,18
50,2023/01,50,50
8998866801928,2023/01,WINGS PINK PWD BY 6,216
4801234134419,2023/01,BAYGON KATOL RED 150G,40
4800015401007,2023/01,ROYAL ALUM FOIL 8M,29
4804888019552,2023/01,WASHED SUGAR 450G,41
4800361393645,2023/01,NESCAFE CLASSIC 46g,41
4800361393232,2023/01,NESTLE COFFEE MATE 220G,74
4800016561436,2023/01,PYLS XB PCANTON SWEET &amp; SPICY 48s,18
4800016561429,2023/01,NISSIN RAMEN CREAMY SEAFOOD 72s,27
O,2023/01,OIL RETAIL,26
4801668602034,2023/01,DATU PUTI SOY SAUCE 200ML,11
4800361410816,2023/01,BEAR BRAND Powdered Milk Drink Swak by 8,39
4800163443043,2023/01,LIGO GREEN,24
4804888019545,2023/01,WASHED SUGAR 225G,21
4800249006599,2023/01,SAN MARINO CORNED TUNA RED 100G,27
4806504710232,2023/01,MEGA MACKAREL 155G,28
748485802084,2023/01,WOW ULAM CALDERETA 155G,21.75
4800249908848,2023/01,CDO KARNE NORTE 150G,29.5
SC6,2023/01,SHAMPOO/CONDITIONER RETAIL ASST,26
4807770270024,2023/01,LUCKY ME CHICKEN 55G,17
4800016551581,2023/01,NISSIN RAMEN BEEF 55GX72,22
4902430800846,2023/01,TIDE PERFUME FANTASY JUMBO 125G,25
K12,2023/01,KAPE/MILK/OTHER BEVERAGE,12
F9,2023/01,FABCON/ DISHWASHING ASST 9,8
BS18,2023/01,BODY SOAP ASST,19.5
4,2023/01,4,4
SC7,2023/01,SHAMPOO/CONDITIONER 7 ASST RETAIL,21
TP9,2023/01,TOOTHPASTE RETAIL 9,18
P7,2023/01,POWDER ASST RETAIL 7,14
8,2023/01,8,16
SMG11,2023/01,KNORR SINIGANG GABI  11G RETAIL,7
8998666002792,2023/01,KOPIKO CARAMELO TWIN,57.5
48039406,2023/01,MARVELS RED,107
4806515661288,2023/01,JOLY ICE CANDY COLA,140
LIPA,2023/01,LIPA PABORITA BY 10,120
4800523223179,2023/01,PEEWEE BBQ 90G,21
7622210278371,2023/01,EDEN MAYO 220ML,95
8851717200007,2023/01,DUTCHMILL YOUGURT STRAW 90ML,46
4800092552090,2023/01,FUDGEE BARR COMBO,68
4800092553196,2023/01,WHOOPIE CHOCO,0
25,2023/01,25,25
RX8,2023/01,REXONA RETAIL 8,16
4806506318900,2023/01,SISTERS NAPKIN PERFORATED ONYT 4S,28
4802288886040,2023/01,HAPPY DIAPER M 4,25
4800361381086,2023/01,BEAR BRAND Powdered Milk Drink 135g,50
14,2023/01,14,14
4800361393645,2023/01,NESCAFE CLASSIC 46g,41
4809015790335,2023/01,BABY ANNE PANTS MEDIUM 30,173
4800092110023,2023/01,HANSEL MOCHA,53
4808680210957,2023/01,KNORR CRAB & CORN 55G,55
4806502721452,2023/01,GARDENIA FIBER WHEAT 400G,68
4806501597027,2023/01,ANLENE MILK 180G,110
4802288815125,2023/01,HAPPY PANTS XXL12,112
4806506318856,2023/01,SISTERS SILK FLOSS NIGHT 8,25
16,2023/01,16,48
4806506318900,2023/01,SISTERS NAPKIN PERFORATED ONYT 4S,28
4800888209566,2023/01,CREAMSILK COLOR REVIVE 10ML BY12,40
4800888169709,2023/01,SUNSILK STRONG & LONG 13ML BY12,33
143,2023/01,143,0
14,2023/01,14,56
BS18,2023/01,BODY SOAP ASST,19.5
TP9,2023/01,TOOTHPASTE RETAIL 9,18
RX8,2023/01,REXONA RETAIL 8,16
4806500802528,2023/01,MAGIC PANTS XXL10,94
4800092551437,2023/01,MRS. GOODMAN CHUNKEE COOKIES,83
17,2023/01,17,34
4800361381086,2023/01,BEAR BRAND Powdered Milk Drink 135g,50
4800361061322,2023/01,NESTLE All-Purpose Cream 250ML,74
4800575120303,2023/01,ALASKA CONDENSED CLASSIC MILK 300ML,66
4806501709376,2023/01,CALLA POWDER ROSE GARDEN 800G,89
4800010012033,2023/01,GT GRANULES 50gX24 SUP,40
48042772,2023/01,Marlboro Blue FT20s,135.5
4800365671268,2023/01,SNACKERS NACHOS CHEESE 500G,75
40329055,2023/01,CAMEL CIG,176
48041812,2023/01,MIGHTY GREEN FLIPTOP,107
4801668601907,2023/01,DATU PUTI VINEGAR 1.8963 L,86
C18,2023/01,CURLS ASST 18,18.5
4800016622571,2023/01,Pic-A Ultimate Cheddar SN (180gX18),50
